Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,31.9,6.6
200002,36.0,5.7
200003,38.8,1.5
200004,51.0,5.5
200005,59.3,4.6
200006,67.3,3.3
200007,74.0,2.5
200008,73.0,3.6
200009,62.0,1.4
200010,49.1,0.2
200011,29.8,-6.2
200012,30.4,3.4
200101,26.3,1.0
200102,31.7,1.4
200103,41.4,4.1
200104,47.0,1.5
200105,59.3,4.6
200106,67.1,3.1
200107,72.9,1.4
200108,72.4,3.0
200109,65.2,4.6
200110,52.2,3.3
200111,39.3,3.3
200112,25.0,-2.0
200201,26.1,0.8
200202,29.0,-1.3
200203,36.0,-1.3
200204,49.7,4.2
200205,56.3,1.6
200206,68.7,4.7
200207,76.2,4.7
200208,70.7,1.3
200209,61.0,0.4
200210,47.0,-1.9
200211,35.9,-0.1
200212,29.3,2.3
200301,35.2,9.9
200302,31.0,0.7
200303,40.3,3.0
200304,45.8,0.3
200305,57.4,2.7
200306,66.0,2.0
200307,77.2,5.7
200308,72.7,3.3
200309,62.2,1.6
200310,55.0,6.1
200311,34.1,-1.9
200312,30.3,3.3
200401,24.2,-1.1
200402,27.8,-2.5
200403,45.6,8.3
200404,48.0,2.5
200405,57.0,2.3
200406,66.1,2.1
200407,72.2,0.7
200408,68.6,-0.8
200409,60.2,-0.4
200410,48.9,0.0
200411,35.7,-0.3
200412,30.1,3.1
200501,32.6,7.3
200502,33.5,3.2
200503,39.0,1.7
200504,45.9,0.4
200505,56.0,1.3
200506,61.8,-2.2
200507,74.8,3.3
200508,69.0,-0.4
200509,60.8,0.2
200510,50.4,1.5
200511,39.0,3.0
200512,29.2,2.2
200601,29.9,4.6
200602,31.5,1.2
200603,36.3,-1.0
200604,48.4,2.9
200605,58.9,4.2
200606,68.8,4.8
200607,75.0,3.5
200608,69.7,0.3
200609,58.1,-2.5
200610,47.3,-1.6
200611,38.2,2.2
200612,27.9,0.9
200701,22.4,-2.9
200702,34.3,4.0
200703,43.0,5.7
200704,48.3,2.8
200705,57.7,3.0
200706,68.2,4.2
200707,76.2,4.7
200708,72.8,3.4
200709,61.7,1.1
200710,48.9,0.0
200711,40.6,4.6
200712,24.6,-2.4
200801,22.8,-2.5
200802,30.5,0.2
200803,37.2,-0.1
200804,43.1,-2.4
200805,52.8,-1.9
200806,65.0,1.0
200807,74.1,2.6
200808,71.6,2.2
200809,61.9,1.3
200810,50.4,1.5
200811,40.9,4.9
200812,27.0,0.0
200901,29.5,4.2
200902,33.1,2.8
200903,39.2,1.9
200904,45.3,-0.2
200905,58.7,4.0
200906,62.0,-2.0
200907,73.2,1.7
200908,69.7,0.3
200909,64.3,3.7
200910,45.7,-3.2
200911,39.0,3.0
200912,21.6,-5.4
201001,27.0,1.7
201002,29.9,-0.4
201003,38.0,0.7
201004,44.7,-0.8
201005,50.2,-4.5
201006,65.4,1.4
201007,73.1,1.6
201008,69.3,-0.1
201009,63.8,3.2
201010,51.1,2.2
201011,34.8,-1.2
201012,32.5,5.5
201101,25.4,0.1
201102,28.6,-1.7
201103,39.4,2.1
201104,43.5,-2.0
201105,50.8,-3.9
201106,63.3,-0.7
201107,71.8,0.3
201108,72.5,3.1
201109,63.2,2.6
201110,50.0,1.1
201111,36.0,0.0
201112,26.8,-0.2
201201,31.0,5.7
201202,31.7,1.4
201203,42.6,5.3
201204,49.6,4.1
201205,58.0,3.3
201206,68.7,4.7
201207,73.2,1.7
201208,73.0,3.6
201209,63.6,3.0
201210,50.9,2.0
201211,41.2,5.2
201212,27.8,0.8
201301,19.7,-5.6
201302,27.6,-2.7
201303,41.0,3.7
201304,45.0,-0.5
201305,56.0,1.3
201306,69.2,5.2
201307,74.6,3.1
201308,71.0,1.6
201309,61.4,0.8
201310,46.4,-2.5
201311,38.0,2.0
201312,23.1,-3.9
201401,30.4,5.1
201402,35.7,5.4
201403,41.0,3.7
201404,46.7,1.2
201405,56.5,1.8
201406,66.0,2.0
201407,74.6,3.1
201408,67.7,-1.7
201409,64.2,3.6
201410,53.1,4.2
201411,37.7,1.7
201412,31.7,4.7
201501,32.1,6.8
201502,38.9,8.6
201503,44.9,7.6
201504,47.1,1.6
201505,53.8,-0.9
201506,70.0,6.0
201507,70.1,-1.4
201508,71.0,1.6
201509,65.5,4.9
201510,54.3,5.4
201511,34.5,-1.5
201512,26.6,-0.4
201601,26.6,1.3
201602,33.7,3.4
201603,42.2,4.9
201604,47.9,2.4
201605,54.4,-0.3
201606,70.9,6.9
201607,73.7,2.2
201608,70.1,0.7
201609,61.1,0.5
201610,53.2,4.3
201611,41.6,5.6
201612,27.4,0.4
201701,25.9,0.6
201702,36.5,6.2
201703,45.3,8.0
201704,46.0,0.5
201705,55.6,0.9
201706,69.5,5.5
201707,75.0,3.5
201708,71.6,2.2
201709,60.7,0.1
201710,48.1,-0.8
201711,43.0,7.0
201712,31.4,4.4
201801,32.8,7.5
201802,32.2,1.9
201803,39.2,1.9
201804,49.0,3.5
201805,58.3,3.6
201806,69.1,5.1
201807,76.1,4.6
201808,72.4,3.0
201809,65.8,5.2
201810,47.5,-1.4
201811,35.0,-1.0
201812,27.4,0.4
201901,27.0,1.7
201902,27.1,-3.2
201903,38.1,0.8
201904,48.6,3.1
201905,50.5,-4.2
201906,63.6,-0.4
201907,73.3,1.8
201908,72.8,3.4
201909,63.1,2.5
201910,42.9,-6.0
201911,38.4,2.4
201912,28.8,1.8
202001,28.6,3.3
